1,85.5,1,1
2,90,2,2
3,78,3,3
4,88.5,4,4
5,92,5,5
6,76.5,6,6
7,89,7,7
8,95,8,8
9,82,9,9
10,87.5,10,10
11,80,11,11
12,91,12,12
13,75,13,13
14,84,14,14
15,93,15,15
16,77,16,16
17,88,17,17
18,94,18,18
19,81,19,19
20,86,20,20
21,83,21,21
22,90.5,22,22
23,79,23,23
24,85,24,24
25,91.5,25,25
26,74,26,26
27,89.5,27,27
28,96,28,28
29,80.5,29,29
30,87,30,30
31,82.5,31,31
32,92,32,32
33,76.5,33,33
34,84.5,34,34
35,93.5,35,35
36,78,36,36
37,88.5,37,37
38,95.5,38,38
39,81.5,39,39
40,86.5,40,40
41,84,41,41
42,90,42,42
43,77,43,43
44,89,44,44
45,92.5,45,45
46,75.5,46,46
47,88,47,47
48,94,48,48
49,82,49,49
50,87,50,50
51,83,51,51
52,91,52,52
53,78.5,53,53
54,86,54,54
55,93,55,55
56,76,56,56
57,89.5,57,57
58,95,58,58
59,80,59,59
60,85.5,60,60
61,82,61,61
62,90.5,62,62
63,79,63,63
64,88,64,64
65,92,65,65
66,77.5,66,66
67,89,67,67
68,94.5,68,68
69,81,69,69
70,86.5,70,70
71,83.5,71,71
72,91.5,72,72
73,78,73,73
74,87,74,74
75,93.5,75,75
76,76.5,76,76
77,88.5,77,77
78,95,78,78
79,80.5,79,79
80,84,80,80
81,82,81,81
82,90,82,82
83,79.5,83,83
84,88,84,84
85,92.5,85,85
86,75,86,86
87,89,87,87
88,94,88,88
89,81,89,89
90,86,90,90
91,83,91,91
92,91,92,92
93,78.5,93,93
94,86.5,94,94
95,93,95,95
96,76,96,96
97,88,97,97
98,95.5,98,98
99,80,99,99
100,85,100,100
